id,ticker,stage,detected_at,detected_at_iso,price,actionable_rank,quality_label,quality_score,ross_score,rv15,change_5s_pct,change_15s_pct,change_30s_pct,timeliness_label,notification_reason,classification,return_30s_pct,return_60s_pct,return_120s_pct,return_300s_pct,return_900s_pct,mfe_30s_pct,mae_30s_pct,mfe_60s_pct,mae_60s_pct,mfe_120s_pct,mae_120s_pct,mfe_300s_pct,mae_300s_pct,mfe_900s_pct,mae_900s_pct
47078,OPRT,PRE_IGNITION,1786977709.0,2026-08-17T14:41:49+00:00,7.605,C,DEVELOPING,40,38,2.0,0.0,0.0,0.0,PRE_IGNITION,Python specialist intelligence,MIXED,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.19723865877712132,0.0,0.19723865877712132,0.0
47076,TMCR,ACTIVITY_WATCH,1786977709.0,2026-08-17T14:41:49+00:00,7.38,C,ILLIQUID,43,0,9.2,1.3736263736263687,1.5130674002751032,0.0,,Python specialist intelligence,UNMATURED,0.0,,,,,,,,,,,,,,
47074,ITRG,PRE_IGNITION,1786977709.0,2026-08-17T14:41:49+00:00,2.7891,C,DEVELOPING,40,50,72.0,0.0,0.0,0.0,PRE_IGNITION,Python specialist intelligence,UNMATURED,-0.14700082463876551,,,,,,,,,,,,,,
47072,PGEN,PRE_IGNITION,1786977709.0,2026-08-17T14:41:49+00:00,6.4359,C,DEVELOPING,82,88,35.48,0.01243181924135417,0.013986013986033718,0.0,PRE_IGNITION,Python specialist intelligence,MIXED,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9182864867384399,0.0,0.9182864867384399,0.0
47070,ACXP,ACTIVITY_WATCH,1786977709.0,2026-08-17T14:41:49+00:00,1.64,C,ILLIQUID,43,0,59.14,-0.60606060606061,0.0,0.0,,Python specialist intelligence,FALSE_POSITIVE,0.6097560975609762,0.6097560975609762,0.6097560975609762,,,0.6097560975609762,0.6097560975609762,0.6097560975609762,0.6097560975609762,0.6097560975609762,0.6097560975609762,0.6097560975609762,-1.8292682926829174,0.6097560975609762,-1.8292682926829174
47068,FLO,ACTIVITY_WATCH,1786977708.0,2026-08-17T14:41:48+00:00,7.3533,C,ILLIQUID,40,0,8.169642857142858,0.20850367947669035,0.0,0.0,,Python specialist intelligence,MIXED,-0.13327349625338325,-0.13327349625338325,-0.13327349625338325,,,-0.13327349625338325,-0.13327349625338325,-0.13327349625338325,-0.13327349625338325,-0.13327349625338325,-0.13327349625338325,-0.11967415990099539,-0.2855860634001006,-0.11967415990099539,-0.2855860634001006
47066,EH,PRE_IGNITION,1786977708.0,2026-08-17T14:41:48+00:00,5.74,C,DEVELOPING,58,38,3.28,0.04531669397287441,0.0,0.0,PRE_IGNITION,Python specialist intelligence,MIXED,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34843205574913716,0.0,-0.34843205574913716
47064,ASPN,ACTIVITY_WATCH,1786977708.0,2026-08-17T14:41:48+00:00,5.86,C,ILLIQUID,58,0,4.0,0.07001485681108477,0.07001485681108477,0.0,,Python specialist intelligence,MIXED,-0.08532423208190698,-0.08532423208190698,-0.08532423208190698,,,-0.08532423208190698,-0.08532423208190698,-0.08532423208190698,-0.08532423208190698,-0.08532423208190698,-0.08532423208190698,-0.08532423208190698,-0.5085324232082078,-0.08532423208190698,-0.5085324232082078
47060,PAYO,ACTIVITY_WATCH,1786977708.0,2026-08-17T14:41:48+00:00,7.1211,C,ILLIQUID,40,0,8.7,0.015449438202241872,0.015449438202241872,0.0,,Python specialist intelligence,MIXED,-0.015447051719541527,-0.015447051719541527,-0.015447051719541527,,,-0.015447051719541527,-0.015447051719541527,-0.015447051719541527,-0.015447051719541527,-0.015447051719541527,-0.015447051719541527,0.007021387145234037,-0.015447051719541527,0.007021387145234037,-0.015447051719541527
47058,IMRX,ACTIVITY_WATCH,1786977708.0,2026-08-17T14:41:48+00:00,5.11,C,ILLIQUID,58,0,8.78,0.19607843137257053,0.0,0.0,,Python specialist intelligence,UNMATURED,0.0,,,,,,,,,,,,,,
47056,BSBR,PRE_IGNITION,1786977707.0,2026-08-17T14:41:47+00:00,5.775,C,DEVELOPING,40,50,42.0,0.0,0.0,0.0,PRE_IGNITION,Python specialist intelligence,MIXED,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47054,URG,ACTIVITY_WATCH,1786977707.0,2026-08-17T14:41:47+00:00,1.38,C,ILLIQUID,58,0,153.84615384615384,0.7299270072992581,0.0,0.0,,Python specialist intelligence,UNMATURED,0.0,,,,,,,,,,,,,,
47052,UGP,ACTIVITY_WATCH,1786977707.0,2026-08-17T14:41:47+00:00,6.4599,C,ILLIQUID,40,0,13.985915492957746,-0.0015479876160906514,0.0,0.0,,Python specialist intelligence,MIXED,0.15634916949178734,0.15634916949178734,0.15634916949178734,,,0.15634916949178734,0.15634916949178734,0.15634916949178734,0.15634916949178734,0.15634916949178734,0.15634916949178734,0.15634916949178734,0.09133268316845466,0.15634916949178734,0.09133268316845466
47050,TRTX,PRE_IGNITION,1786977706.0,2026-08-17T14:41:46+00:00,7.95,C,DEVELOPING,40,50,2.0,0.0,0.0,0.0,PRE_IGNITION,Python specialist intelligence,UNMATURED,0.0,,,,,,,,,,,,,,
47048,FOSL,PRE_IGNITION,1786977706.0,2026-08-17T14:41:46+00:00,5.575,C,DEVELOPING,58,50,2.0,0.0,0.0,0.0,PRE_IGNITION,Python specialist intelligence,MIXED,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08968609865470656,0.0,-0.08968609865470656
47046,DDD,ACTIVITY_WATCH,1786977706.0,2026-08-17T14:41:46+00:00,3.651,C,ILLIQUID,40,0,22.0,-0.23227216832900632,0.0,0.0,,Python specialist intelligence,MIXED,0.10955902492468805,0.10955902492468805,0.10955902492468805,,,0.10955902492468805,0.10955902492468805,0.10955902492468805,0.10955902492468805,0.10955902492468805,0.10955902492468805,0.10955902492468805,-0.3012873185428533,0.10955902492468805,-0.3012873185428533
