cohort,id,ticker,stage,detected_at,detected_at_iso,price,actionable_rank,quality_label,quality_score,ross_score,rv15,change_5s_pct,change_15s_pct,change_30s_pct,timeliness_label,coverage,classification,stored_max_1m_pct,stored_max_5m_pct,stored_max_15m_pct,stored_time_to_peak_seconds,first_ts,last_ts,return_30s_pct,mfe_30s_pct,mae_30s_pct,return_60s_pct,mfe_60s_pct,mae_60s_pct,return_120s_pct,mfe_120s_pct,mae_120s_pct,return_300s_pct,mfe_300s_pct,mae_300s_pct,return_900s_pct,mfe_900s_pct,mae_900s_pct
ACTIONABLE,80613,UWMC,BREAKOUT,1786992838.0,2026-08-17T18:53:58+00:00,1.4791,A,CLEAN,100,88,12.488871380736656,0.6190476190476302,0.6190476190476302,0.6190476190476302,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991625.0,1786994025.0,-0.27719559191400345,0.06084781285915497,-0.6152389966871841,-0.16902170238659586,0.06084781285915497,-0.6152389966871841,-0.10817388952741869,0.06084781285915497,-0.6152389966871841,0.06084781285915497,0.06084781285915497,-0.6152389966871841,0.06084781285915497,0.06084781285915497,-1.291325806233523
ACTIONABLE,80347,CLOV,BREAKOUT,1786992824.0,2026-08-17T18:53:44+00:00,4.195,A,CLEAN,100,88,9.219259259259259,0.0,0.599520383693064,0.599520383693064,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991625.0,1786994010.0,0.11918951132299238,0.11918951132299238,-0.39332538736592815,-0.3790226460071544,0.11918951132299238,-0.39332538736592815,0.11918951132299238,0.11918951132299238,-0.39332538736592815,0.47675804529201393,0.35756853396899935,-0.39332538736592815,0.47675804529201393,0.7151370679379987,-0.39332538736592815
ACTIONABLE,80303,ACTG,BREAKOUT,1786992819.0,2026-08-17T18:53:39+00:00,4.635,A,CLEAN,100,88,247.54,0.6405384865921127,0.6405384865921127,0.6405384865921127,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991640.0,1786993995.0,0.0,0.0,-0.10787486515642097,0.0,0.0,-0.10787486515642097,0.0,0.0,-0.10787486515642097,0.0,0.10787486515642097,-0.11003236245954451,0.0,0.10787486515642097,-0.11003236245954451
ACTIONABLE,80276,ARKO,BREAKOUT,1786992816.0,2026-08-17T18:53:36+00:00,4.775,A,CLEAN,100,88,48.68,0.39527353769817086,0.39527353769817086,0.39527353769817086,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991625.0,1786994010.0,-0.21151832460734044,0.10471204188482464,-0.23036649214659422,0.07748691099476179,0.10471204188482464,-0.23036649214659422,-0.10471204188483574,0.10471204188482464,-0.26387434554974165,0.05026178010469895,0.5235602094240788,-0.26387434554974165,0.10471204188482464,0.6282722513088812,-0.26387434554974165
ACTIONABLE,80246,EYPT,BREAKOUT,1786992668.0,2026-08-17T18:51:08+00:00,4.4562,A,CLEAN,100,75,0.6354992076069731,0.2316741267234912,0.47801578354003116,0.186604914678834,PRE_IGNITION,FINAL_15M,FALSE_POSITIVE,,,,,1786991460.0,1786993860.0,-0.2513352183474593,-0.2827521206409056,-1.0367577756833168,-0.1413760603204417,-0.1391319958709114,-1.0367577756833168,-0.4757416633005773,-0.13688793142139222,-1.0367577756833168,-0.026928773394363503,0.0852744490821733,-1.0367577756833168,1.3195098963242113,1.2073066738476745,-1.0367577756833168
ACTIONABLE,80050,ACDC,EARLY,1786992655.0,2026-08-17T18:50:55+00:00,5.195,A,CLEAN,82,75,13.13265306122449,0.16581829399970882,0.09633911368014392,0.192864030858253,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991445.0,1786993845.0,0.19249278152069227,0.09624639076033503,-0.12512030798844664,0.0712223291626346,0.2887391722810273,-0.12512030798844664,0.13474494706446905,0.38498556304138454,-0.12512030798844664,0.2887391722810273,0.48123195380171957,-0.12512030798844664,-0.0019249278152222438,0.5774783445620768,-0.12512030798844664
ACTIONABLE,80028,UWMC,EARLY,1786992654.0,2026-08-17T18:50:54+00:00,1.4801,A,CLEAN,100,62,15.45635910224439,0.6870748299319773,0.6870748299319773,-0.6644295302013381,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991445.0,1786993845.0,-0.0067563002499770874,0.0,-0.6823863252482965,-0.6486048239983777,0.0,-0.6823863252482965,-0.6823863252482965,0.0,-0.6823863252482965,-0.1756638064995597,0.05405040199988331,-0.6823863252482965,-0.3445713127491312,0.05405040199988331,-1.3580163502466047
ACTIONABLE,79787,ZURA,SURGE,1786992509.0,2026-08-17T18:48:29+00:00,5.62,A,CLEAN,100,62,10.872420262664166,0.5366726296959001,0.5366726296959001,-0.17939290598745217,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991310.0,1786993695.0,-0.1067615658362997,-0.2170818505338068,-0.3558718861210064,-0.1779359430604921,-0.1067615658362997,-0.3558718861210064,-0.2313167259786475,-0.1067615658362997,-0.3558718861210064,-0.1779359430604921,-0.1067615658362997,-0.3558718861210064,-0.7117437722419906,-0.0889679715302516,-0.7117437722419906
ACTIONABLE,79809,OSRH,IGNITION,1786992509.0,2026-08-17T18:48:29+00:00,0.612,A,CLEAN,100,88,1.9425781834505462,0.0,0.9734367266127641,0.5586592178770777,PRE_IGNITION,FINAL_15M,FALSE_POSITIVE,,,,,1786991310.0,1786993695.0,-3.5947712418300637,0.0,-2.7941176470588247,-3.366013071895413,0.0,-3.5947712418300637,-4.084967320261446,0.0,-4.738562091503273,-1.127450980392164,0.0,-5.228758169934644,7.189542483660127,9.640522875817004,-5.228758169934644
ACTIONABLE,79764,ANNX,BREAKOUT,1786992508.0,2026-08-17T18:48:28+00:00,5.155,A,CLEAN,82,88,6.83089770354906,0.19436345966958868,0.19436345966958868,0.45012568444435797,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991295.0,1786993695.0,0.0,0.09699321047527132,-0.42095053346266065,-0.3336566440349187,0.09699321047527132,-0.42095053346266065,0.09699321047527132,0.19398642095052043,-0.42095053346266065,0.0,0.19398642095052043,-0.42095053346266065,-0.19398642095054264,0.19398642095052043,-0.42095053346266065
ACTIONABLE,79768,FIP,BREAKOUT,1786992508.0,2026-08-17T18:48:28+00:00,4.245,A,CLEAN,82,88,14.325,0.23612750885477762,0.23612750885477762,0.4733727810650956,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991310.0,1786993695.0,0.0,0.0,-0.3297997644287398,-0.2355712603062332,0.0,-0.3297997644287398,0.0,0.0,-0.6478209658421608,-0.2355712603062332,0.11778563015312216,-0.6478209658421608,-0.7067137809187329,0.11778563015312216,-0.7067137809187329
